"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalization"
"IL24",14.1178378406746,1.16343281196514,0.38775625120272,3.0004230966141,0.00269604824229614,0.217571093153299,"RUVseq"
"CTLA4",135.808300136437,1.05533807989021,0.377140596015334,2.79826168553677,0.00513784681523419,0.243896610581999,"RUVseq"
"PRKAA2",24.0852684002651,0.867163669511134,0.388141667440062,2.23414217605237,0.0254737196794934,0.50139736052076,"RUVseq"
"IL17A",11.9600388726999,1.18010898366023,0.415896325450339,2.83750759851603,0.00454672645619224,0.243896610581999,"RUVseq"
"KSHV_vIRF-1",20.2327236067264,0.891243393901003,0.447012698359482,1.99377645684749,0.0461764895534721,0.566579187405298,"RUVseq"
"S100A8",970.443180247246,-1.59899554228991,0.701597096740571,-2.27907947412897,0.0226623414272005,0.50139736052076,"RUVseq"
"DUSP2",26.8078036330927,0.716840825166965,0.267938795053449,2.67539019507783,0.00746423199263483,0.334646401003128,"RUVseq"
"ICOS",50.7158633644137,0.549263688535324,0.272862316952119,2.012970111339,0.044117773786642,0.566579187405298,"RUVseq"
"BNIP3",95.7316757632512,1.32834049754099,0.401424160100231,3.30906963150728,0.000936065537257967,0.119489348739295,"RUVseq"
"BID",201.645096537089,0.321741788822248,0.156194776857063,2.05987546636518,0.0394104476555496,0.557968969439096,"RUVseq"
"FCN1",149.714963863563,0.702030618805741,0.309861295293086,2.26562861986915,0.0234741312547894,0.50139736052076,"RUVseq"
"CASP1",314.836456246606,-0.528620293624271,0.239621719378226,-2.20606168337304,0.0273796810832738,0.508256476548944,"RUVseq"
"MS4A2",172.982918459203,0.571840196019033,0.248986112457575,2.29667506502584,0.0216373129208184,0.50139736052076,"RUVseq"
"HSD11B1",35.8520708288801,0.652200479804542,0.256192782847883,2.54574103358638,0.0109046051950889,0.424408630939125,"RUVseq"
"KSHV_K15_2",13.0744651499557,0.729833043052334,0.367499089598592,1.98594517295133,0.0470394120894114,0.566579187405298,"RUVseq"
"TDO2",44.4696503191069,0.666575263305297,0.335438113072331,1.98717807347539,0.0469026667835218,0.566579187405298,"RUVseq"
"CD1C",54.994635717994,1.32750847384053,0.353115044234748,3.7594220226936,0.000170306347429904,0.0687186111879663,"RUVseq"
"WNT10A",212.539438238422,0.886998565014628,0.377967741068401,2.34675732512873,0.0189375844883006,0.50139736052076,"RUVseq"
"BRCA1",98.9900273976725,0.447518510011906,0.223953459493699,1.99826567101767,0.0456878651726433,0.566579187405298,"RUVseq"
"SMAD5",115.8315805424,0.359286749709243,0.173597268153112,2.06965670330915,0.038484503991217,0.55458919144486,"RUVseq"
"IL34",29.0627556558566,0.545608931456407,0.238460723119093,2.28804527772868,0.0221348844928793,0.50139736052076,"RUVseq"
"POS_C",2146.73899807547,1.37462772664234,0.423226101552928,3.24797483330652,0.00116229550529934,0.119489348739295,"RUVseq"
"POS_A",21723.2059388534,1.54160067651434,0.442215406400602,3.48608541041604,0.000490144484631819,0.0988866497744695,"RUVseq"
"POS_F",45.2370932335656,1.19137057121228,0.405703300025477,2.93655627434498,0.00331878599425064,0.243478208850933,"RUVseq"
"POS_D",479.899284030374,1.21969481957124,0.400492994409268,3.04548353303983,0.00232306499090188,0.208301494184202,"RUVseq"
"POS_B",7428.45082805414,1.48613455092144,0.436384318480038,3.40556360067605,0.000660276318175681,0.106568597753555,"RUVseq"
"POS_E",69.8006267621956,1.07676564699847,0.379349925528085,2.8384496069151,0.0045333277007635,0.243896610581999,"RUVseq"
"NEG_C",4.70991645138993,0.799341995395302,0.355165930501782,2.25061563271563,0.0244098924302054,0.50139736052076,"RUVseq"
"NEG_A",17.501695948867,0.948656489244005,0.385684726420522,2.45966828411468,0.013906548386879,0.467607689508806,"RUVseq"
"NEG_F",19.5568162182382,0.760340949894576,0.356074933336122,2.13533972405983,0.0327332703496368,0.517955866120723,"RUVseq"
"NEG_B",13.6484788832324,1.1611218782961,0.413911449671314,2.80524223047743,0.00502787789285749,0.243896610581999,"RUVseq"
"PUM1",535.849317333835,-0.318126802491069,0.160076484872107,-1.98734250533572,0.0468844543743714,0.566579187405298,"RUVseq"
"KSHV_ORF64",52.6086324782551,-1.4672457968939,0.599081254125725,-2.44915992077759,0.0143189856883648,0.998620523706209,"nCounter"
"ISG15",29.957555813121,-1.28263239203493,0.523193279101077,-2.45154600272902,0.0142244003040057,0.998620523706209,"nCounter"
"CXCL8",48.1644035680096,-1.40288069361308,0.63260524774869,-2.21762417970075,0.0265804678254355,0.998620523706209,"nCounter"
"IFI6",383.999725125391,-1.22948914914619,0.560781435152039,-2.19245693968605,0.0283465290753599,0.998620523706209,"nCounter"
"SLC11A1",625.232497881105,-1.51019121006943,0.662747673200467,-2.27868202505576,0.0226859740185258,0.998620523706209,"nCounter"
"CCL3/L1",59.5827357322378,-1.45091885584249,0.487389177951687,-2.9769205421018,0.00291159459329697,0.998620523706209,"nCounter"
"MMP1",165.089224346604,-1.33987516592016,0.663261244350435,-2.02013185201612,0.0433697127221989,0.998620523706209,"nCounter"
"MS4A1",47.2665776334854,-1.07094639588865,0.464027252642146,-2.30793857427713,0.021002553194031,0.998620523706209,"nCounter"
"NOS2",82.4050814275281,-1.10676714409452,0.561161411462311,-1.97227949300796,0.0485777093149776,0.998620523706209,"nCounter"
"KSHV_vIRF-1",14.2042196137306,-0.986703750657044,0.485062187865597,-2.03417989556927,0.0419334608072191,0.998620523706209,"nCounter"
"LILRA3",83.7233363189042,-1.29457583382355,0.647331387833156,-1.99986569190928,0.0455147686915957,0.998620523706209,"nCounter"
"CXCL1",40.4232292213723,-1.0857286796382,0.470461820040992,-2.30779339233862,0.0210106306232579,0.998620523706209,"nCounter"
