"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalization"
"IL2RG",195.754996605574,0.628912893373149,0.267575265046374,2.3504149132176,0.0187524945236983,0.282645465721482,"RUVseq"
"IRF3",1927.67866664568,-0.327152288079966,0.125597642380934,-2.60476456307772,0.00919374110931384,0.19023971987734,"RUVseq"
"CDKN2A",70.1734159996341,0.643324801685888,0.295358525344984,2.17811488913168,0.0293974843767268,0.282645465721482,"RUVseq"
"ADM",1163.53035635504,-0.834534034733178,0.309679385594207,-2.69483237682059,0.00704240492400918,0.170074624486406,"RUVseq"
"PTPRC",39.5837141651955,0.636188002115074,0.227879145272639,2.79177807760304,0.00524192942663379,0.170074624486406,"RUVseq"
"EOMES",16.9358182355756,0.710192736405833,0.253760293321503,2.79867558123465,0.00513126632428629,0.170074624486406,"RUVseq"
"SLAMF7",72.7879080195053,0.720636989887479,0.307088852208619,2.346672582559,0.0189418917018251,0.282645465721482,"RUVseq"
"CD3D",89.3327820179347,0.69402697528894,0.3027708411279,2.29225170001018,0.0218911231905616,0.282645465721482,"RUVseq"
"MS4A1",53.1791424250614,1.00509804484785,0.333924156649653,3.00995907253987,0.00261282894878734,0.142117371807247,"RUVseq"
"ITGA2",161.60737053358,-0.454768234472617,0.226904370114781,-2.00422862830967,0.0450455752149312,0.308065925410589,"RUVseq"
"SIRPB2",25.9218104331731,0.563182081746739,0.2281297837417,2.46869160400556,0.0135608031962421,0.230026274809649,"RUVseq"
"EPM2AIP1",446.63862593533,-0.319706287315893,0.158491791272447,-2.01717883777538,0.0436768536738404,0.308065925410589,"RUVseq"
"CCL4",550.711056552819,0.501501227057936,0.227337851131774,2.20597328848352,0.0273858700381488,0.282645465721482,"RUVseq"
"TNKS",310.023793601135,-0.288736394448239,0.135661127147794,-2.12836499680324,0.0333068329537143,0.282645465721482,"RUVseq"
"CD27",181.871293466342,0.780749538090169,0.296693713675295,2.63150010298037,0.00850088413819122,0.185411175662711,"RUVseq"
"PECAM1",7666.34084455783,-0.484575863671313,0.224478115436048,-2.15867752956686,0.0308751932451973,0.282645465721482,"RUVseq"
"CCNA1",28.0235240791757,0.979660145988627,0.319647921907475,3.06480999514271,0.0021780832229223,0.142117371807247,"RUVseq"
"HLA-DQB1",221.946811949399,-1.77303440462851,0.790448254929787,-2.24307460174733,0.0248920041804106,0.282645465721482,"RUVseq"
"CD45RO",207.535923180841,0.621420839901206,0.215180095176993,2.88791042401049,0.00387810296026628,0.153944194533882,"RUVseq"
"CD2",204.471507880052,0.620060027723269,0.229560488187232,2.70107470418665,0.00691158123180447,0.170074624486406,"RUVseq"
"IL7R",221.038176082462,0.745665988048792,0.281635139161579,2.64763122339287,0.00810578941986801,0.181704779495375,"RUVseq"
"BTLA",17.71412408076,0.776636498819414,0.259279093789122,2.99536876448308,0.00274113227520736,0.142117371807247,"RUVseq"
"MKI67",221.46501244696,-0.78712238285588,0.354223304720995,-2.22210784091651,0.0262760185126357,0.282645465721482,"RUVseq"
"CXCL5",19.3044111373075,0.9924227458662,0.502295361967613,1.97577525298788,0.0481802374441182,0.314087350184748,"RUVseq"
"SOX10",382.454815610565,-0.730075460047677,0.366589421182948,-1.99153444660731,0.046422162106977,0.312189040169421,"RUVseq"
"GHR",381.251477712647,-0.673793007682996,0.321399939363722,-2.09643165775609,0.0360439165427966,0.282645465721482,"RUVseq"
"PIK3CA",1155.98053043832,-0.359726896848419,0.161713383661732,-2.22447201773285,0.0261167031450296,0.282645465721482,"RUVseq"
"CD8A",238.743871845398,0.618839439816405,0.275092549347152,2.24956815909784,0.0244763715911087,0.282645465721482,"RUVseq"
"CD5",328.959627177896,0.522346023739311,0.258726345703975,2.0189131582949,0.0434962463502492,0.308065925410589,"RUVseq"
"TNFRSF9",38.1585316923153,1.04650386857806,0.289792688495278,3.61121556935041,0.000304765204353972,0.0460880511866319,"RUVseq"
"CXCL13",55.705464989985,0.952521111527815,0.433544675034243,2.19705411317203,0.0280165817465188,0.282645465721482,"RUVseq"
"NCR1",42.486513723959,0.67074495517481,0.320560056316112,2.09241588887597,0.0364013286799608,0.282645465721482,"RUVseq"
"ITGAL",455.665238120201,0.46933916414052,0.215689303665493,2.17599647346632,0.0295555242537624,0.282645465721482,"RUVseq"
"SFRP1",1058.90286875136,-1.01289272803705,0.360221731702953,-2.81185902707366,0.00492560859293445,0.170074624486406,"RUVseq"
"MAGEA1",14.3951313026899,0.78150859786866,0.365542325400298,2.13794284153783,0.0325213825888883,0.282645465721482,"RUVseq"
"ROCK1",465.893648934457,-0.421457388481292,0.204343652574288,-2.06249317349397,0.0391608068151764,0.292942841919543,"RUVseq"
"HIF1A",3720.16340887994,-0.406798889546367,0.188847045569827,-2.15411836769218,0.0312308904563123,0.282645465721482,"RUVseq"
"PDCD1",113.622219088356,0.797630685601092,0.263480473701966,3.02728575819749,0.00246760564421274,0.142117371807247,"RUVseq"
"MRE11",318.387353345309,-0.616935572442075,0.201683911735421,-3.05892307985082,0.00222134176912651,0.142117371807247,"RUVseq"
"EIF5AL1",20.5968439746244,1.1674848479167,0.51465002360201,2.26850246648302,0.023298598848284,0.282645465721482,"RUVseq"
"KIT",126.934677356091,-0.473565377168618,0.230133105160624,-2.05778902100194,0.0396103904393966,0.293262248482505,"RUVseq"
