"gene","SB 12 5422","SB 14 5182","SB 16 638","SB 17 2867","SB 17 5114","SB 17 5284","SB 18 4726","SB 18 4918","SB 18 5511","SB 18 5577","SB 18 6283","SB 18 6898","SB 19 2016","SB 19 473","SB 19 4896","SB 19 5090","SB 19 5476","SB 19 5736","SB 19 5920","SB 19 7845","SB 19 7860","SB 19 7884","SB 19 7967","SB 20 1637","SB 20 1639","SB 20 3779","SB 20 6585","SB 21 10183","SB 21 11056","SB 21 11361","SB 21 2796","SB 21 3933","SB 21 4614","SB 21 6978","SB 21 7662","SB 21 8797","SB 21 9542","SB 22 1215","SB 22 1394","SB 22 2594","SB 22 2794","SB 22 2963","SB 22 696"
"SELP",58.3325632016743,71.9848584217603,21.1039772808989,91.3266843654136,164.963454888243,125.454600062332,109.400946655788,148.269238571406,124.464184426532,61.8052828673006,79.3870514077295,95.840967434402,306.933551747474,74.522204314557,275.717677646341,298.643981465115,115.472798114869,326.229102600978,96.0699756514286,320.849624285238,341.021638382732,217.250547877003,121.905987799847,145.942632738891,566.782826651398,235.060120066294,170.911851670993,106.548385659186,297.226183124045,303.314883307318,407.44212643974,211.444724979295,188.820771294053,411.207817403366,360.599372072006,145.642349539151,214.578649860158,406.572175372468,183.786576681286,641.804616771304,198.354849167887,126.534895987123,180.809682117044
"HLA-E",23041.3624646614,18515.757496658,11173.3835270537,11911.864792132,19313.6225990556,18488.4236320432,20606.2559936535,8594.50310477704,12131.3684758236,37721.289199335,12577.670231729,20690.5245678251,18892.1783633246,23769.1436899907,14002.2418184983,17624.2525599454,19453.0841107049,14753.3767031155,16171.7792346572,21193.2915241288,18833.8485039493,21509.6453461612,17739.8727455527,18848.2795071659,26851.7009813235,14645.2674806521,17523.3479920389,18185.403500734,17641.2932246486,19314.944110649,19950.8785596903,24983.1121031806,19644.9130454333,16925.1038974939,21891.1752601882,23313.1789512313,23019.0210314055,17534.5063719147,21206.6960663123,14541.6831977327,18541.5752255922,17190.5829505186,20800.5439783416
"GOT1",106.943032536403,26.6030998515201,16.4142045518102,102.071000173109,31.9065118508125,58.7844411720643,102.167826215736,51.1273236453125,70.0111037399243,83.477265171419,103.548327923125,413.314172060859,92.6591854331996,89.999892902965,105.405148395985,88.1942511455023,80.4810411103632,89.532908284811,110.849971905495,120.514249121772,124.084606045202,115.989699290264,137.215111849131,55.5216537593609,71.9415594720471,51.1000261013682,86.6767247760038,209.659726619689,199.172184567659,125.509606885787,92.6701077052791,84.3059353615195,45.9463876815528,95.0959067360255,135.859622576425,390.763625326027,56.5356921787242,85.4234091873004,133.499695765234,86.3590310028666,108.802237940191,99.8959705161501,18.9891446972238
"SMAP1",155.553501871132,165.878152015361,239.17840918352,376.05105326935,398.49196715802,406.472904201957,237.788834466713,368.11673024625,268.37589766971,261.669119671948,600.580301954128,578.468696300498,339.10688002289,433.375280475424,504.280420483951,420.899460639225,275.85168438552,436.344288652412,322.69658488044,414.756831393113,373.942044068194,354.719821109909,411.078330952974,448.403451313695,335.403216457517,265.720135727115,506.631560310445,409.008319143327,384.555525588327,810.890499389544,432.715792177543,336.543854870582,332.324557477533,422.356992675865,241.246058780567,687.900025948313,357.202782401939,570.390485396214,661.511945383781,578.016696144186,497.979473649336,426.828237659914,481.333537325282
"CDKN1A",2887.46187848288,4492.79409845378,3667.40227414731,6312.28553702123,4443.83035266848,2025.91257014944,13176.0330216099,3967.48031487625,1388.5535575085,8688.85957192895,8606.59185587711,13953.4179909407,4380.72037798071,3851.65146761161,4918.53708252004,4550.21512289312,3538.83302505568,2908.27584842386,4824.02655514652,6091.44750106413,6194.10094666458,1720.82072386191,4411.86274916564,3654.9111503305,7587.89015782875,2422.14123720485,3443.26341170026,4715.62532659366,2091.30793796042,2564.3335367645,10321.6119135872,4761.24568819936,6076.8818228136,4507.54597928761,5701.02528381446,3505.16922484627,2795.30450760942,1097.52861171025,2201.24834676576,1144.25716078798,1879.76789548976,4990.56051493712,2587.47736874346
"CD45RA",87.4988448025115,87.6337406873603,154.762500059925,44.7679825320655,40.0528553020837,78.1402937531099,60.5773836854365,66.4655207389063,89.45863255657,24.882646349173,124.257993507751,133.492776069346,67.5639893783747,171.974317648978,50.4835184422878,68.7306922720122,71.7331018592367,25.727847208279,199.52994942989,35.9977627246853,66.6849243372175,157.107740837607,87.8857121347737,29.0827710168081,69.0250097637209,30.6600156608209,131.846285574766,92.8002068644524,63.5818896889066,74.4444236920598,39.8251702535084,106.062305777395,73.0106982337004,41.973365731763,53.3280761514939,59.8173935607229,61.6753005586082,134.08231315475,208.930017139312,31.4032840010424,30.9667907983621,97.4742500187889,43.7575943022984
"HNF1A",19.4441877338914,26.6030998515201,110.209659133583,30.4422281218045,10.1829293140891,6.45195086034852,3.61656022002606,40.90185891625,108.906161373216,7.2239941013728,6.9032218615417,387.642484355215,6.4346656550833,15.477688588408,9.43098696174606,12.1647242959314,26.8270137034544,5.14556944165581,16.4222180600733,3.13024023692915,10.1293555955267,7.97812746440972,6.23705053859684,7.40288716791478,15.5549317777399,51.1000261013682,12.207989405071,37.8074916855177,9.95860922838297,9.22864756513138,9.19042390465578,14.9575046609147,8.18223342274229,17.7075136680875,11.4274448896058,10.4030249670822,13.4914719971955,9.73178079348991,11.3744135405356,5.88811575019545,10.0432835021715,15.7411832328479,10.7329948288656
"TICAM1",155.553501871132,186.221698960641,408.010227430711,703.752685404069,240.317131812502,219.36632925185,449.357607338238,357.891265517188,688.442520109256,439.860974172477,657.531882311847,721.374424528579,173.735972687249,154.203638158583,179.743516212101,159.966124491497,163.878061971102,175.978474904629,218.415500198975,267.635540257443,250.701550989286,120.89931619144,200.152621829517,199.349175878848,179.853898680118,102.200052202736,183.730240546318,127.170653851287,102.650279738717,169.191872027409,215.974961759411,182.889488808458,215.25567927522,176.419302841316,302.192431525132,251.623166391302,136.199622066926,129.757077246532,152.656602780872,93.2284993780946,121.356342317905,100.50140064049,131.272782906895
"C1QA",223.608158939752,1282.42590166592,349.388068317103,936.54619457081,3940.79364455248,3258.235184476,1007.21202127726,966.306416896407,552.309818392736,4320.7511386322,407.29008983096,951.563890955848,1600.94481498473,2337.7042245751,752.25990118398,1581.41415847108,1489.48245649179,1258.60628542901,1325.27299744791,322.414744403703,967.3534593728,1835.58301892688,1063.13361453355,1125.23884952305,1159.81460067773,1032.22052724764,875.923239813841,866.135264068223,386.08761931577,595.555389536478,464.116407185117,1211.55787753409,2790.7709997261,1324.12852206921,1367.48423845616,239.919763303334,1992.88314930003,2457.81530484473,301.721285496313,2197.24852744793,4747.96227565157,4370.60006761265,3232.28267346223
"CD86",418.050036278666,100.93529061312,89.1056818526841,84.1638071602831,99.1138453238004,115.418232057346,73.2353444555277,143.156506206875,163.359242059823,46.5546286532914,43.1451366346356,36.7960857114222,108.1023830054,68.7897270595911,72.6740759993373,68.7306922720122,103.225683163292,115.26075549309,93.6066429424177,42.2582431985436,51.4908909439274,42.3454457726362,35.7212894483274,58.6943196884672,9.72183236108744,51.1000261013682,94.6119178892999,175.289279632855,33.7060620037577,65.2157761269284,36.7616956186231,30.5948958973256,80.5635290854625,41.3175318922042,36.8217668665077,20.8060499341645,72.5969683658618,110.293515659552,36.5178539985616,122.669078129072,90.3895515195433,123.507745365422,109.806793249164
"ITGA4",38.8883754677829,235.515678097281,157.107386424469,42.9772632307829,269.508195846224,328.332610448847,139.237568471003,81.8037178325,81.6796210299117,183.810516579375,79.3870514077295,295.224408614899,184.031437735382,213.821401610229,137.026692914781,177.604974720598,189.538683774406,241.841763757823,219.236611101978,189.379534334214,182.328400719481,270.028929564637,192.214557507666,132.194413712764,137.077836291333,153.300078304105,224.016605583052,164.978145536804,115.673076421987,201.184516919864,114.114430149476,192.407900865403,173.085707019548,166.581795247934,111.735016698368,57.866826379395,187.595705865767,289.790805850589,113.744135405356,347.398829261531,330.591415279811,268.205545082754,377.306048983969
"ROR2",155.553501871132,277.767660214401,91.4505682172284,50.1401404359133,307.52446528549,391.418352194477,346.285641067495,158.494703300469,93.3481383198991,64.2132809010916,272.677263530897,100.975304975531,504.477787358531,369.744782945302,421.620593583942,190.986171446122,277.601272235745,162.599994356324,376.889904478682,364.672987602246,500.558989012278,501.394626032518,412.21234014181,399.227129412547,272.211306110448,112.42005742301,260.640573798265,127.170653851287,628.158428251849,297.777694768239,192.23303333905,297.110433491806,561.427093314317,331.196088977192,411.38801602581,277.630728809007,576.921040641981,477.93856785806,467.548261850437,213.934872257101,241.038804052116,523.697057554363,243.556421116567
"WNT7B",204.16397120586,31.2977645312001,178.211363705368,94.9081229679788,76.7114008328044,100.363680049866,26.2200615951889,122.70557674875,15.5580230533165,18.4613182590638,220.903099569334,4.27861461760723,68.8509225093914,55.6050293731695,219.686519814791,77.2459992791641,44.3228922057073,57.630377746545,41.8766560531868,435.103392933152,84.4112966293892,17.7973612667601,49.8964043087747,71.3849834048925,51.5257115137635,91.9800469824628,49.4423570905374,44.6815810828845,213.727074978373,183.34246496061,148.578519791935,68.6685441251086,86.2281522242841,114.770921922789,50.7886439538037,314.041316193795,77.7365767457458,116.781369521879,116.138748782311,3.9254105001303,6.69552233478099,37.5366677090988,31.3733694997611
"FLT1",252.774440540589,66.5077496288003,131.313636414482,227.421351262893,793.589624544676,104.664980623432,151.895529241094,219.847491674844,256.707380379723,261.669119671948,113.903160715438,167.721693010203,295.994620133832,144.458426825141,181.40780802888,404.477082839718,216.948893427936,328.287330377641,135.483298995604,225.377297058899,174.731384022836,239.343823932292,143.452162387727,237.421167028124,293.599337304841,143.080073083831,243.549388631166,192.474503126272,467.288586870278,486.657348267928,588.18712989797,284.19258855738,274.419520947357,377.760291585867,253.943219769018,328.995664583976,331.504740502519,274.652480171826,349.014899691171,630.028385270913,756.594023830252,416.535925546129,375.654819010298
"CTAG1B",19.4441877338914,2.34733233984001,2.34488636454432,0,4.75203367990824,1.43376685785523,3.61656022002606,5.11273236453125,3.88950576332913,8.82932612390009,1.72580546538542,4.27861461760723,7.07813222059163,4.58598180397274,3.32858363355743,3.04118107398284,3.49917570045057,1.02911388833116,6.56888722402931,6.26048047385831,1.68822593258778,4.90961690117521,4.53603675534316,4.23022123880845,5.83309941665247,0,4.27279629177484,0,3.06418745488707,1.23048634201752,2.29760597616395,4.75920602847287,3.14701285490088,1.31166767911759,2.53943219769018,3.90113436265584,4.49715733239852,3.2439269311633,7.7824934751033,4.90676312516287,1.67388058369525,3.63258074604182,4.12807493417909
"CLEC7A",87.4988448025115,68.0726378553603,89.1056818526841,146.838982705175,31.9065118508125,53.766257169571,76.8519046755538,20.450929458125,132.24319595319,18.4613182590638,12.080638257698,23.1045189350791,34.1037279719415,27.5158908238364,31.6215445187956,17.0306140143039,41.4069124553318,36.0189860915906,78.8266466883517,26.6070420138978,32.9204056854618,28.2302971817575,34.0202756650737,33.8417699104676,20.4158479582836,112.42005742301,56.1567512633264,182.163369030221,25.2795465028183,7.3829180521051,25.2736657378034,63.9093380966357,37.7641542588106,19.6750151867639,40.6309151630429,11.0532140275249,79.6639298882023,19.4635615869798,5.38788009814844,41.2168102513681,14.2279849614096,32.0877965900361,0
"TNFRSF4",58.3325632016743,286.374545460481,65.6568182072409,34.0236667243698,37.3374074849933,22.223386296756,299.270358207156,46.0145912807813,38.8950576332913,242.405135401621,24.1612765153959,103.542473746095,99.0938510882829,150.190904080107,29.4024887630907,68.1224560572156,61.8187707079601,14.4075944366363,93.6066429424177,28.1721621323624,134.213961640729,62.5976154899839,59.535482413879,82.4893141567647,48.6091618054372,91.9800469824628,37.84476715572,6.87408939736685,22.2153590479312,13.5353497621927,37.5275642773444,110.141625230372,49.7228031074339,50.4992056460274,50.7886439538037,12.3535921484102,43.0442201815287,18.3822526099254,19.1569070156389,7.8508210002606,37.6623131331431,20.5846242275703,58.6186640653431
"MS4A6A",9.72209386694572,53.2061997030402,49.2426136554307,89.535965064131,26.4756162166316,55.2000240274263,70.5229242905082,66.4655207389063,136.13270171652,40.1333005631822,31.0644983769376,36.7960857114222,64.346656550833,49.8725521182036,105.405148395985,77.2459992791641,72.3162978093118,51.4556944165581,55.0144305012455,9.39072071078746,33.7645186517557,34.9810204208734,37.989307825999,30.6691039813612,103.051423027527,40.8800208810946,74.4687353709328,113.422475056553,32.940015140036,38.7603197735518,27.5712717139673,27.195463019845,49.7228031074339,44.5967010899982,46.9794956572684,57.866826379395,69.3847131284342,83.2607912331915,37.7151606870391,46.123573376531,54.4011189700955,128.351186360144,71.8285038547162
"ANGPT2",262.496534407534,474.943576760962,454.907954721598,223.839912660327,710.089604169146,446.618376221903,469.248688548381,342.553068423594,194.475288166456,4981.34526590218,210.548266777022,271.264166756298,721.326019934838,858.725092793896,397.765744210113,966.487345311746,1127.90096744523,793.446807903326,611.727622737729,320.849624285238,685.41972863064,656.047558419537,574.375654145328,916.900453511731,409.289142401781,296.380151387936,331.446912347677,340.267425169659,638.883084343953,609.090739298671,832.49923203007,622.096216578954,713.742515491519,569.919606576594,313.619876414738,299.737156864057,686.137718714516,579.581611701177,409.478887459281,2031.39993381743,1440.37424226976,766.474537414824,1003.94782399236
"APH1B",126.387220270294,55.5535320428802,39.8630681972534,46.5587018333481,33.9430977136303,44.4467725935121,81.3726049505863,30.6763941871875,38.8950576332913,193.442508714538,60.4031912884899,36.7960857114222,113.893582094974,144.458426825141,68.7907284268536,118.606061885331,110.807230514268,93.6493638381357,80.468868494359,79.8211260416934,78.5025058653319,139.310379570847,121.905987799847,104.697975660509,85.5521247775695,163.520083524378,103.15751047285,6.87408939736685,104.18237346616,36.2993470895167,91.1383703878365,104.022646050907,146.650799038381,141.6601093447,81.2618303260859,167.748777594201,106.646873882593,62.17526618063,75.4303213740781,37.2913997512378,69.4660442233527,67.808173926114,58.6186640653431
"RORC",68.05465706862,10.17177347264,168.831818247191,132.513228294914,6.10975758845345,9.31948457605898,15.3703809351108,51.1273236453125,248.928368853064,2.40799803379093,569.51580357719,86.4280152756661,14.1562644411833,14.3311931374148,51.5930463201402,17.6388502291005,9.33113520120153,21.6113916549544,5.74777632102565,51.648963909331,17.7263722921717,17.1836591541132,9.07207351068632,10.5755530970211,34.0264132638061,30.6600156608209,35.4031692747058,54.9927151789348,41.3665306409754,44.2975083126306,35.9958269599018,22.4362569913721,23.9172976972467,24.2658520636755,6.34858049422546,150.19367296225,12.2065699022245,29.735996868997,121.526628880459,45.1422207514984,0.836940291847623,10.8977422381255,0
